display_item	panel	panel_title	asset_type	primary_file_or_source	table_file_or_source	status	rationale
Display 1	1A	PRMT family tree and methyl-state logic	manual	manual schematic / ChemDraw	n/a	main	Essential teaching panel; not pipeline-derived.
Display 1	1B	Disease associations across PRMT biology	manual	manual schematic / pathway summary	n/a	main	High-level review framing; not pipeline-derived.
Display 1	1C	Top methylarginine proteins by site count	pipeline	/mnt/m/Codex/PTM_pipeline/PTM_results/example_figures/arg_methyl_top_proteins_accession_level.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/example_figures/top_proteins_by_site_count_accession_level.tsv	main	Useful named-substrate anchor list for FUS/EWSR1/TAF15/hnRNPK/CHTOP; validate against site-count table, not per-protein odds ranking.
Display 1	1D	Subclass enrichment of methylarginine proteins	pipeline	/mnt/m/Codex/PTM_pipeline/PTM_results/functional_class_union/arg_methyl_functional_class_subclass_enrichment.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/functional_class_union/arg_methyl_functional_class_subclass_enrichment.tsv	main	Best functional overview; broad-class panel is redundant.
Display 2	2A	Arg MMA ADMA SDMA Cit chemistry	manual	manual ChemDraw	n/a	main	Core chemistry figure.
Display 2	2B	H-bond donor count and formal charge	manual/manual-data	manual chart from chemistry summary	n/a	main	Supports interaction-budget framing.
Display 2	2C	Interaction property matrix	manual	manual table / schematic	n/a	main	Use literature-backed structural/reader facts.
Display 2	2D	Reader routing schematic	manual	manual schematic with TDRD3/SMN/WDR5/SART3/ASCC2/3/WDR79	n/a	main	Conceptual but evidence-backed.
Display 3	3A	Motif family enrichment	pipeline	/mnt/m/Codex/PTM_pipeline/PTM_results/motif_arg_odds/arg_methyl_motif_family_enrichment.png	/mnt/m/Codex/PTM_pipeline/PTM_results/motif_arg_odds/motif_family_enrichment_vs_methylated_protein_arginines.tsv	main	Strongest mechanistic sequence panel.
Display 3	3B	Focused positional enrichment	pipeline	/mnt/m/Codex/PTM_pipeline/PTM_results/motif_arg_odds/arg_methyl_positional_enrichment_focus.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/motif_arg_odds/positional_enrichment_long_format.tsv	main	Cleaner than 20-aa heatmap for review figure.
Display 3	3C	Acidic asymmetry around methyl-Arg	pipeline	/mnt/m/Codex/PTM_pipeline/PTM_results/motif_arg_odds/arg_methyl_acidic_asymmetry.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/motif_arg_odds/acidic_asymmetry_summary.tsv	main	Keep if space allows; best way to show DR versus RD/RE/ER.
Display 3	3D	Global disorder-context enrichment	pipeline	/mnt/m/Codex/PTM_pipeline/PTM_results/disorder_context/arg_methyl_idr_context_enrichment.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/disorder_context/idr_enrichment_vs_arginines_in_methylated_proteins.tsv	main	Global class-level OR; pair with within-IDR bins.
Display 3	3E	Within-IDR depth bins	pipeline	/mnt/m/Codex/PTM_pipeline/PTM_results/disorder_context/arg_methyl_idr_edge_bin_enrichment.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/disorder_context/idr_edge_bin_enrichment_vs_disordered_arginines_in_methylated_proteins.tsv	main	Use to support intermediate-depth IDR preference; do not call generic core-IDR enrichment.
Display 3	3F	Nearest domain class enrichment	pipeline	/mnt/m/Codex/PTM_pipeline/PTM_results/domain_context/arg_methyl_nearest_domain_class_enrichment.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/domain_context/domain_class_enrichment.tsv	main	Keep; strongest structured-neighbor identity panel and central to RRM/KH-adjacent model.
Display 3	S3A	ADMA vs SDMA IP-specific motif comparison	pipeline	/mnt/m/Codex/PTM_pipeline/PTM_results/maron_state_treatment/maron_s3_adma_sdma_motif_comparison.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/maron_state_treatment/maron_s3_adma_sdma_motif_enrichment.tsv	supplement	Not clean enough for main text; many sites appear in multiple IP classes.
Display 3	S3B	Cross-PTM strict IDR comparison	pipeline	/mnt/m/Codex/PTM_pipeline/PTM_results/ptm_compare/cross_ptm_idr_site_fraction.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/ptm_compare/ptm_idr_binary_comparison.tsv	supplement	Useful context, but not central and can distract because phosphorylation is even more IDR-enriched.
Display 3	S3C	Disordered-only outside-domain frequency	pipeline	/mnt/m/Codex/PTM_pipeline/PTM_results/domain_context/arg_methyl_domain_edge_bin_frequency_disordered_only_compact.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/domain_context/domain_edge_bin_enrichment_disordered_only_compact_fraction.tsv	supplement	Good validation panel if you want the domain-proximity nuance.
Display 4	4A	Condensate enrichment	pipeline	/mnt/m/Codex/PTM_pipeline/PTM_results/condensates/condensate_enrichment_top_bottom.png	/mnt/m/Codex/PTM_pipeline/PTM_results/condensates/condensate_enrichment.tsv	main	Best condensate quantitative panel.
Display 4	4B	Methylation and condensate dynamics reconciliation	manual	manual schematic built from Qamar 2018, Hofweber 2018, Anne 2010, Friesen 2001	n/a	main	Use to reconcile in vitro inhibition of self-association with reader-mediated assembly in vivo.
Display 5	5	Redistribution model	manual	manual conceptual model	n/a	main	Conceptual payoff figure; should stand alone.
