figure_item	panel	label	primary_figure_file	table_file	recommendation	notes
Figure 1	1A	Proteome landscape and substrate classes	/mnt/m/Codex/PTM_pipeline/PTM_results/functional_class_union/arg_methyl_functional_class_subclass_enrichment.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/functional_class_union/arg_methyl_functional_class_subclass_enrichment.tsv	keep	Main computational entry point for substrate space; use subclass rather than broad class.
Figure 1	1B	Top methylarginine proteins	/mnt/m/Codex/PTM_pipeline/PTM_results/example_figures/arg_methyl_top_proteins_accession_level.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/example_figures/top_proteins_by_site_count_accession_level.tsv	optional	Use only if you want a concrete anchor list; otherwise cut for space. This is a site-count ranking, not a per-protein odds ranking.
Figure 2	2A	Global disorder-context enrichment	/mnt/m/Codex/PTM_pipeline/PTM_results/disorder_context/arg_methyl_idr_context_enrichment.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/disorder_context/idr_enrichment_vs_arginines_in_methylated_proteins.tsv	keep	Global class-level OR; pair with within-IDR bins.
Figure 2	2B	Within-IDR depth bins	/mnt/m/Codex/PTM_pipeline/PTM_results/disorder_context/arg_methyl_idr_edge_bin_enrichment.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/disorder_context/idr_edge_bin_enrichment_vs_disordered_arginines_in_methylated_proteins.tsv	keep	Do not describe as generic core-IDR enrichment; this is an intermediate-depth within-IDR preference.
Figure 2	2C	Cross-PTM strict IDR comparison	/mnt/m/Codex/PTM_pipeline/PTM_results/ptm_compare/cross_ptm_idr_site_fraction.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/ptm_compare/ptm_idr_binary_comparison.tsv	optional	Supplement or small inset; use only to situate arginine methylation, not to claim uniqueness.
Figure 3	3A	Motif family enrichment	/mnt/m/Codex/PTM_pipeline/PTM_results/motif_arg_odds/arg_methyl_motif_family_enrichment.png	/mnt/m/Codex/PTM_pipeline/PTM_results/motif_arg_odds/motif_family_enrichment_vs_methylated_protein_arginines.tsv	keep	Strongest mechanistic sequence panel.
Figure 3	3B	Positional motif focus	/mnt/m/Codex/PTM_pipeline/PTM_results/motif_arg_odds/arg_methyl_positional_enrichment_focus.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/motif_arg_odds/positional_enrichment_long_format.tsv	keep	Focused 6-residue panel is cleaner than the 20-aa heatmap.
Figure 3	3C	Acidic asymmetry	/mnt/m/Codex/PTM_pipeline/PTM_results/motif_arg_odds/arg_methyl_acidic_asymmetry.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/motif_arg_odds/acidic_asymmetry_summary.tsv	keep	Best way to show DR versus RD/RE/ER asymmetry.
Figure 4	4A	Broad domain context	/mnt/m/Codex/PTM_pipeline/PTM_results/domain_context/arg_methyl_domain_context_enrichment.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/domain_context/domain_context_enrichment.tsv	keep	Shows depletion in domains and enrichment in outside-domain classes.
Figure 4	4B	Nearest domain class	/mnt/m/Codex/PTM_pipeline/PTM_results/domain_context/arg_methyl_nearest_domain_class_enrichment.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/domain_context/domain_class_enrichment.tsv	keep	Best structured-neighbor identity panel; RRM/KH and Sm/Lsm make the point.
Figure 4	4C	Disordered outside-domain proximity frequency	/mnt/m/Codex/PTM_pipeline/PTM_results/domain_context/arg_methyl_domain_edge_bin_frequency_disordered_only_compact.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/domain_context/domain_edge_bin_enrichment_disordered_only_compact_fraction.tsv	keep	Preferred domain-proximity panel for presentation; per-arginine methylation rate is clearer than OR.
Figure 4	4D	Disordered outside-domain proximity OR	/mnt/m/Codex/PTM_pipeline/PTM_results/domain_context/arg_methyl_domain_edge_bin_enrichment_disordered_only_compact.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/domain_context/domain_edge_bin_enrichment_disordered_only_compact.tsv	supplement	Keep only if you want inferential effect sizes shown directly.
Figure 5	5A	Local methylarginine clustering	/mnt/m/Codex/PTM_pipeline/PTM_results/methyl_arg_clustering/arg_methyl_neighbor_clustering_summary.pdf	/mnt/m/Codex/PTM_pipeline/PTM_results/methyl_arg_clustering/nearest_neighbor_distance_bin_summary.tsv	keep	Not an odds ratio; bars are observed/null nearest-neighbor probability ratios.
